epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.1164555475115776,
0,224,,,0.09025629609823227
0,224,0.11719762533903122,,
1,399,,0.11862442642450333,
1,449,,,0.0903887003660202
1,449,0.11656317859888077,,
2,599,,0.11118447780609131,
2,674,,,0.09053163975477219
2,674,0.11626151204109192,,
3,799,,0.11744772642850876,
3,899,,,0.09060575067996979
3,899,0.1160326823592186,,
4,999,,0.11288938671350479,
4,1124,,,0.09067660570144653
4,1124,0.11585276573896408,,
5,1199,,0.12213170528411865,
5,1349,,,0.09072721749544144
5,1349,0.1157119944691658,,
6,1399,,0.10848622024059296,
6,1574,,,0.09076496958732605
6,1574,0.1155913844704628,,
7,1599,,0.11531738191843033,
7,1799,,0.1111806109547615,
7,1799,,,0.09088550508022308
7,1799,0.11549792438745499,,
8,1999,,0.1145457774400711,
8,2024,,,0.09084860235452652
8,2024,0.1153835579752922,,
9,2199,,0.11828523874282837,
9,2249,,,0.09101149439811707
9,2249,0.11531668156385422,,
