epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11816797405481339,
0,224,,,0.08983109146356583
0,224,0.11749419569969177,,
1,399,,0.11624202132225037,
1,449,,,0.09050168842077255
1,449,0.11649059504270554,,
2,599,,0.1118200421333313,
2,674,,,0.09079376608133316
2,674,0.1160273551940918,,
3,799,,0.11584090441465378,
3,899,,,0.09116245061159134
3,899,0.11568890511989594,,
4,999,,0.12020593881607056,
4,1124,,,0.09117355942726135
4,1124,0.11546371877193451,,
5,1199,,0.11182823032140732,
5,1349,,,0.09163602441549301
5,1349,0.1152782067656517,,
6,1399,,0.11276807636022568,
6,1574,,,0.09172682464122772
6,1574,0.11512231826782227,,
7,1599,,0.11726047098636627,
7,1799,,0.10942354053258896,
7,1799,,,0.09192058444023132
7,1799,0.11493033170700073,,
8,1999,,0.12399991601705551,
8,2024,,,0.09213576465845108
8,2024,0.11488412320613861,,
9,2199,,0.10978962481021881,
9,2249,,,0.092051662504673
9,2249,0.11473383754491806,,
10,2399,,0.11929698288440704,
10,2474,,,0.09233594685792923
10,2474,0.11470910906791687,,
11,2599,,0.1131739467382431,
11,2699,,,0.09237080067396164
11,2699,0.1145729199051857,,
12,2799,,0.12028517574071884,
12,2924,,,0.0924016460776329
12,2924,0.11451536417007446,,
13,2999,,0.11176242679357529,
13,3149,,,0.09261596947908401
13,3149,0.11440617591142654,,
14,3199,,0.10478910058736801,
14,3374,,,0.09256395697593689
14,3374,0.11435217410326004,,
15,3399,,0.12231023609638214,
15,3599,,0.11540808528661728,
15,3599,,,0.09267035126686096
15,3599,0.11427029967308044,,
16,3799,,0.11558298766613007,
16,3824,,,0.09276905655860901
16,3824,0.11419250816106796,,
17,3999,,0.11798708140850067,
17,4049,,,0.0929756835103035
17,4049,0.11404408514499664,,
18,4199,,0.10631977021694183,
18,4274,,,0.09279417246580124
18,4274,0.11398933082818985,,
19,4399,,0.11196530610322952,
19,4499,,,0.09295175969600677
19,4499,0.11395066976547241,,
