epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11712053418159485,
0,224,,,0.09020686149597168
0,224,0.11788183450698853,,
1,399,,0.11936366558074951,
1,449,,,0.09026315063238144
1,449,0.11747308820486069,,
2,599,,0.11149175465106964,
2,674,,,0.09030801802873611
2,674,0.11728674918413162,,
3,799,,0.11838119477033615,
3,899,,,0.09033818542957306
3,899,0.11715967208147049,,
4,999,,0.11405191570520401,
4,1124,,,0.09037384390830994
4,1124,0.11706177145242691,,
5,1199,,0.12324073910713196,
5,1349,,,0.09041167050600052
5,1349,0.11698190867900848,,
6,1399,,0.11198543012142181,
6,1574,,,0.09041337668895721
6,1574,0.11691414564847946,,
7,1599,,0.11668795347213745,
7,1799,,0.11247456073760986,
7,1799,,,0.0904557853937149
7,1799,0.11685499548912048,,
8,1999,,0.11568684130907059,
8,2024,,,0.09047551453113556
8,2024,0.11680316179990768,,
9,2199,,0.11941909790039062,
9,2249,,,0.09049589931964874
9,2249,0.11675558239221573,,
10,2399,,0.11553074419498444,
10,2474,,,0.0905173122882843
10,2474,0.11671216785907745,,
11,2599,,0.11570683121681213,
11,2699,,,0.0905337855219841
11,2699,0.11667250096797943,,
12,2799,,0.11419682204723358,
12,2924,,,0.09055183082818985
12,2924,0.11663617938756943,,
13,2999,,0.11689648777246475,
13,3149,,,0.09056832641363144
13,3149,0.11660178005695343,,
14,3199,,0.11827850341796875,
14,3374,,,0.09057828038930893
14,3374,0.11656977236270905,,
15,3399,,0.11103497445583344,
15,3599,,0.10826404392719269,
15,3599,,,0.09060700237751007
15,3599,0.11653942614793777,,
16,3799,,0.12227261066436768,
16,3824,,,0.09063109010457993
16,3824,0.11651122570037842,,
17,3999,,0.12369494885206223,
17,4049,,,0.0906362533569336
17,4049,0.11648459732532501,,
18,4199,,0.11828728765249252,
18,4274,,,0.09065776318311691
18,4274,0.1164584532380104,,
19,4399,,0.11688341945409775,
19,4499,,,0.09066379815340042
19,4499,0.11643417179584503,,
