test_image,auc,balanced_accuracy,f1,tn,fp,fn,tp
image1,0.7539616037810922,0.663146111490755,0.4978526026455935,48950,1404,13211,7245
image2,0.9582439847134865,0.9310398028739968,0.9298153662894579,37101,5729,163,39029
image3,0.763622916197001,0.7000718873511529,0.63218744817456,25827,7623,7902,13342
