test_image,auc,balanced_accuracy,f1,tn,fp,fn,tp
image1,0.7179252025887456,0.6666215882207083,0.5058265582655826,48756,1598,12990,7466
image2,0.9575199111951689,0.9562315401986339,0.9543438304129396,39354,3476,250,38942
image3,0.7628119093997594,0.7493964454291359,0.6957536911983517,26206,7244,6047,15197
