test_image,feature,coef_scaled,scaler_scale,coef_per_unit_original,abs_coef_scaled
image1,ae0,0.068540699321556,1.3582741797753621,0.0504616080774587,0.068540699321556
image1,ae1,-0.8077228786847032,2.1391039153262876,-0.3775987098604779,0.8077228786847032
image1,ae2,-0.043988119871267994,1.2497047908511472,-0.03519880870530122,0.043988119871267994
image1,ae3,0.15376935760644192,1.3745969541630785,0.11186505043586699,0.15376935760644192
image1,ae4,0.21614161248938346,1.1282842009861869,0.19156663923899933,0.21614161248938346
image1,ae5,-0.15538721034384528,1.2700178587392876,-0.12235041363756409,0.15538721034384528
image1,ae6,-0.2645367794274613,1.4884318258734102,-0.17772851589775124,0.2645367794274613
image1,ae7,0.2495747835880937,1.3528847094125356,0.1844760176914608,0.2495747835880937
image1,__intercept__,0.001008199312828659,,0.001008199312828659,
image2,ae0,-0.5695993073827467,1.5912669265565325,-0.35795333760587067,0.5695993073827467
image2,ae1,-0.6018827735713983,1.8347585755146214,-0.32804467116474956,0.6018827735713983
image2,ae2,-0.07347017779107357,1.1918286238010136,-0.061644918005711584,0.07347017779107357
image2,ae3,0.14833976412674782,1.2723219492316005,0.11658980198866754,0.14833976412674782
image2,ae4,0.3277750074160183,1.1483869232361932,0.28542210015099895,0.3277750074160183
image2,ae5,0.13634882626755754,1.1913916761390646,0.11444500494532772,0.13634882626755754
image2,ae6,-0.259921242961392,1.2611797554363449,-0.20609373234940967,0.259921242961392
image2,ae7,0.07416500238637229,1.201634164533785,0.06172011796547674,0.07416500238637229
image2,__intercept__,-0.15693477556846452,,-0.15693477556846452,
image3,ae0,0.09876312309380282,1.483578251605431,0.0665708889887863,0.09876312309380282
image3,ae1,-1.069795442975256,2.1672746564045506,-0.49361322978326033,1.069795442975256
image3,ae2,0.10569110372022782,1.289733881228266,0.08194799350356981,0.10569110372022782
image3,ae3,0.36688364469344814,1.4234495902007358,0.2577426325590567,0.36688364469344814
image3,ae4,0.25019985833420755,0.9799755960555969,0.25531233567576817,0.25019985833420755
image3,ae5,-0.32253711748510555,1.313129082901926,-0.2456248374092214,0.32253711748510555
image3,ae6,-0.32497122593079003,1.4101623416106595,-0.23044951374861872,0.32497122593079003
image3,ae7,0.4445118120659173,1.3201109651359422,0.33672306632203636,0.4445118120659173
image3,__intercept__,-0.09945342909467071,,-0.09945342909467071,
