test_image,auc,balanced_accuracy,f1,tn,fp,fn,tp
image1,0.8409962063816959,0.7592359518543014,0.6357933644909638,32426,17928,2567,17889
image2,0.7648554954369651,0.6502254560330204,0.5800749466266554,34468,8362,19765,19427
image3,0.6521720579365555,0.5867406887980189,0.5030019404177605,21906,11544,10227,11017
