feature_set,metric,baseline_mean,modified_mean,abs_diff,rel_diff
raw,auc,0.8127523410612246,0.8127523410612246,0.0,0.0
raw,balanced_accuracy,0.7907498579494927,0.7907498579494927,0.0,0.0
raw,f1,0.718641359958958,0.718641359958958,0.0,0.0
latent,auc,0.7460924881993845,0.7526745865850722,0.006582098385687796,0.008822094431714486
latent,balanced_accuracy,0.660406247594047,0.6654006988951136,0.004994451301066571,0.0075626954155295495
latent,f1,0.564505120547088,0.5729567505117932,0.008451629964705165,0.014971750754916625
raw_plus_latent,auc,0.8240241066556262,0.8252761682305265,0.0012520615749003206,0.0015194477501173137
raw_plus_latent,balanced_accuracy,0.7657088379631874,0.7647526005719683,-0.0009562373912191946,-0.0012488263734330399
raw_plus_latent,f1,0.6866729237953998,0.6866184723698705,-5.445142552928939e-05,-7.929746993419194e-05
