epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.088331438601017,
0,224,,,0.14978455007076263
0,224,0.08775661885738373,,
1,399,,0.08468008041381836,
1,449,,,0.1502152681350708
1,449,0.08718769252300262,,
2,599,,0.08794985711574554,
2,674,,,0.15051674842834473
2,674,0.08694644272327423,,
3,799,,0.09447015076875687,
3,899,,,0.1505236029624939
3,899,0.08678573369979858,,
4,999,,0.08599624037742615,
4,1124,,,0.15071237087249756
4,1124,0.08665020018815994,,
5,1199,,0.08015403151512146,
5,1349,,,0.15082575380802155
5,1349,0.08654340356588364,,
6,1399,,0.09077372401952744,
6,1574,,,0.15083307027816772
6,1574,0.0864468365907669,,
7,1599,,0.08544664084911346,
7,1799,,0.08156277984380722,
7,1799,,,0.1511593908071518
7,1799,0.08637747913599014,,
8,1999,,0.08559045195579529,
8,2024,,,0.15126876533031464
8,2024,0.0863092690706253,,
9,2199,,0.09363929182291031,
9,2249,,,0.151296004652977
9,2249,0.08625110238790512,,
10,2399,,0.09079296141862869,
10,2474,,,0.1512906849384308
10,2474,0.08619152009487152,,
11,2599,,0.0833815336227417,
11,2699,,,0.1514483392238617
11,2699,0.08613956719636917,,
12,2799,,0.08669206500053406,
12,2924,,,0.15140481293201447
12,2924,0.08608857542276382,,
13,2999,,0.08199955523014069,
13,3149,,,0.15144620835781097
13,3149,0.08605185151100159,,
14,3199,,0.0862431675195694,
14,3374,,,0.15159201622009277
14,3374,0.0860159769654274,,
15,3399,,0.08744531869888306,
15,3599,,0.08422387391328812,
15,3599,,,0.15155619382858276
15,3599,0.08597947657108307,,
16,3799,,0.08089718967676163,
16,3824,,,0.1517566591501236
16,3824,0.0859425738453865,,
17,3999,,0.07805725187063217,
17,4049,,,0.15180809795856476
17,4049,0.0859115868806839,,
18,4199,,0.08713056892156601,
18,4274,,,0.15186414122581482
18,4274,0.08587901294231415,,
19,4399,,0.08994404226541519,
19,4499,,,0.15197473764419556
19,4499,0.08585658669471741,,
