epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11618470400571823,
0,224,,,0.09046211838722229
0,224,0.1169702336192131,,
1,399,,0.11835891753435135,
1,449,,,0.09061865508556366
1,449,0.11623641103506088,,
2,599,,0.11009950935840607,
2,674,,,0.09079286456108093
2,674,0.11589550971984863,,
3,799,,0.117151640355587,
3,899,,,0.09094657748937607
3,899,0.1156461238861084,,
4,999,,0.11244043707847595,
4,1124,,,0.09098247438669205
4,1124,0.11545690149068832,,
5,1199,,0.12190783768892288,
5,1349,,,0.0910332128405571
5,1349,0.115308977663517,,
6,1399,,0.10792044550180435,
6,1574,,,0.09110578149557114
6,1574,0.11519203335046768,,
7,1599,,0.11489558964967728,
7,1799,,0.11158318817615509,
7,1799,,,0.09122922271490097
7,1799,0.11507227271795273,,
8,1999,,0.11404698342084885,
8,2024,,,0.0912356823682785
8,2024,0.11497021466493607,,
9,2199,,0.11779890954494476,
9,2249,,,0.09140186756849289
9,2249,0.11485445499420166,,
