epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.12510369718074799,
0,224,,,0.1003708615899086
0,224,0.14000023901462555,,
1,399,,0.12395722419023514,
1,449,,,0.10008592158555984
1,449,0.12214656919240952,,
2,599,,0.11646676063537598,
2,674,,,0.1003812700510025
2,674,0.12115012854337692,,
3,799,,0.12278258055448532,
3,899,,,0.09900698810815811
3,899,0.12078337371349335,,
4,999,,0.11669585108757019,
4,1124,,,0.1006653681397438
4,1124,0.11959856003522873,,
5,1199,,0.12496428936719894,
5,1349,,,0.09907042235136032
5,1349,0.119553342461586,,
6,1399,,0.11319123953580856,
6,1574,,,0.10024985671043396
6,1574,0.119864821434021,,
7,1599,,0.11908616125583649,
7,1799,,0.11812266707420349,
7,1799,,,0.10081025213003159
7,1799,0.1197601780295372,,
8,1999,,0.1187627837061882,
8,2024,,,0.10092219710350037
8,2024,0.11970311403274536,,
9,2199,,0.12185526639223099,
9,2249,,,0.10151134431362152
9,2249,0.11935987323522568,,
10,2399,,0.11726127564907074,
10,2474,,,0.10089713335037231
10,2474,0.11932110786437988,,
11,2599,,0.11647841334342957,
11,2699,,,0.10099615156650543
11,2699,0.11875616759061813,,
12,2799,,0.1184232160449028,
12,2924,,,0.10101459175348282
12,2924,0.11936601996421814,,
13,2999,,0.12018845230340958,
13,3149,,,0.10124601423740387
13,3149,0.11905289441347122,,
14,3199,,0.12107985466718674,
14,3374,,,0.10082317143678665
14,3374,0.11860974133014679,,
15,3399,,0.11287253350019455,
15,3599,,0.11052519083023071,
15,3599,,,0.1009521409869194
15,3599,0.11825890839099884,,
16,3799,,0.12781785428524017,
16,3824,,,0.10216769576072693
16,3824,0.1192428320646286,,
17,3999,,0.12577466666698456,
17,4049,,,0.10016606748104095
17,4049,0.11869096010923386,,
18,4199,,0.11956226825714111,
18,4274,,,0.10075219720602036
18,4274,0.11785493791103363,,
19,4399,,0.11808423697948456,
19,4499,,,0.10085785388946533
19,4499,0.1176474541425705,,
