epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11644086986780167,
0,224,,,0.09049087762832642
0,224,0.11674175411462784,,
1,399,,0.11802728474140167,
1,449,,,0.09056656062602997
1,449,0.1160123199224472,,
2,599,,0.10989364981651306,
2,674,,,0.09071502834558487
2,674,0.1156696081161499,,
3,799,,0.1167147234082222,
3,899,,,0.09076495468616486
3,899,0.11543510854244232,,
4,999,,0.11204522103071213,
4,1124,,,0.09086908400058746
4,1124,0.11523231863975525,,
5,1199,,0.12099592387676239,
5,1349,,,0.09090670198202133
5,1349,0.1150747686624527,,
6,1399,,0.10869275778532028,
6,1574,,,0.0909753292798996
6,1574,0.11494121700525284,,
7,1599,,0.11497866362333298,
7,1799,,0.11164522171020508,
7,1799,,,0.09103235602378845
7,1799,0.11483094096183777,,
8,1999,,0.11364835500717163,
8,2024,,,0.09106320142745972
8,2024,0.11469797044992447,,
9,2199,,0.1174863800406456,
9,2249,,,0.09115150570869446
9,2249,0.11458834260702133,,
