epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.08840251713991165,
0,224,,,0.1486397087574005
0,224,0.08811552077531815,,
1,399,,0.08507262915372849,
1,449,,,0.14894716441631317
1,449,0.08749404549598694,,
2,599,,0.08811046183109283,
2,674,,,0.14910709857940674
2,674,0.08722806721925735,,
3,799,,0.09487071633338928,
3,899,,,0.1492915153503418
3,899,0.08702273666858673,,
4,999,,0.08635830134153366,
4,1124,,,0.14939528703689575
4,1124,0.08687116205692291,,
5,1199,,0.08055809140205383,
5,1349,,,0.14947877824306488
5,1349,0.08673838526010513,,
6,1399,,0.09111233800649643,
6,1574,,,0.14950060844421387
6,1574,0.08663283288478851,,
7,1599,,0.08574818819761276,
7,1799,,0.0816265121102333,
7,1799,,,0.1496691256761551
7,1799,0.0865594744682312,,
8,1999,,0.08568058162927628,
8,2024,,,0.14972490072250366
8,2024,0.08646988123655319,,
9,2199,,0.09380697458982468,
9,2249,,,0.14973251521587372
9,2249,0.08640156686306,,
