epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11767811328172684,
0,224,,,0.09013894945383072
0,224,0.11809166520833969,,
1,399,,0.11974210292100906,
1,449,,,0.09015404433012009
1,449,0.11794920265674591,,
2,599,,0.11229439824819565,
2,674,,,0.09018250554800034
2,674,0.11783801019191742,,
3,799,,0.11927898973226547,
3,899,,,0.0902455598115921
3,899,0.11778147518634796,,
4,999,,0.11485455185174942,
4,1124,,,0.09015458077192307
4,1124,0.11775170266628265,,
5,1199,,0.12394212931394577,
5,1349,,,0.09014866501092911
5,1349,0.11772278696298599,,
6,1399,,0.11004304140806198,
6,1574,,,0.09016816318035126
6,1574,0.11766964942216873,,
7,1599,,0.11776570975780487,
7,1799,,0.11329788714647293,
7,1799,,,0.09009384363889694
7,1799,0.11764788627624512,,
8,1999,,0.11699686199426651,
8,2024,,,0.09014024585485458
8,2024,0.11763410270214081,,
9,2199,,0.12042280286550522,
9,2249,,,0.090126633644104
9,2249,0.11762438714504242,,
10,2399,,0.11645757406949997,
10,2474,,,0.09007149934768677
10,2474,0.11758409440517426,,
11,2599,,0.1167292445898056,
11,2699,,,0.09014683216810226
11,2699,0.11758403480052948,,
12,2799,,0.11489997804164886,
12,2924,,,0.09012199938297272
12,2924,0.11759103089570999,,
13,2999,,0.11847128719091415,
13,3149,,,0.0901707336306572
13,3149,0.11758554726839066,,
14,3199,,0.11939529329538345,
14,3374,,,0.09014452248811722
14,3374,0.11756313592195511,,
15,3399,,0.11169417202472687,
15,3599,,0.10914928466081619,
15,3599,,,0.09014793485403061
15,3599,0.1175524890422821,,
16,3799,,0.12383456528186798,
16,3824,,,0.09016366302967072
16,3824,0.1175265908241272,,
17,3999,,0.12489356845617294,
17,4049,,,0.09011240303516388
17,4049,0.11752266436815262,,
18,4199,,0.11978445947170258,
18,4274,,,0.09017717093229294
18,4274,0.11749241501092911,,
19,4399,,0.1178305596113205,
19,4499,,,0.09010780602693558
19,4499,0.11747429519891739,,
