epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11798950284719467,
0,224,,,0.08955398947000504
0,224,0.11761195212602615,,
1,399,,0.11692868918180466,
1,449,,,0.09000449627637863
1,449,0.11691835522651672,,
2,599,,0.11245059221982956,
2,674,,,0.09008415043354034
2,674,0.1166299432516098,,
3,799,,0.1163073405623436,
3,899,,,0.09028647094964981
3,899,0.11644214391708374,,
4,999,,0.1210700273513794,
4,1124,,,0.09039320796728134
4,1124,0.11630070209503174,,
5,1199,,0.1121525913476944,
5,1349,,,0.09060194343328476
5,1349,0.11617911607027054,,
6,1399,,0.1138325184583664,
6,1574,,,0.09069762378931046
6,1574,0.11607660353183746,,
7,1599,,0.1184358224272728,
7,1799,,0.11025401949882507,
7,1799,,,0.09077876806259155
7,1799,0.11599314212799072,,
8,1999,,0.12529966235160828,
8,2024,,,0.09083687514066696
8,2024,0.1159098818898201,,
9,2199,,0.11083921045064926,
9,2249,,,0.09078485518693924
9,2249,0.11585718393325806,,
10,2399,,0.12077192962169647,
10,2474,,,0.09076426178216934
10,2474,0.1157894879579544,,
11,2599,,0.11405953019857407,
11,2699,,,0.09103046357631683
11,2699,0.11572830379009247,,
12,2799,,0.12165828794240952,
12,2924,,,0.09090371429920197
12,2924,0.11568344384431839,,
13,2999,,0.11295036226511002,
13,3149,,,0.09108718484640121
13,3149,0.11563251167535782,,
14,3199,,0.10566312074661255,
14,3374,,,0.09113377332687378
14,3374,0.11559028178453445,,
15,3399,,0.12332498282194138,
15,3599,,0.1175442561507225,
15,3599,,,0.09124280512332916
15,3599,0.11554976552724838,,
16,3799,,0.11728793382644653,
16,3824,,,0.09122023731470108
16,3824,0.11550594866275787,,
17,3999,,0.12005112320184708,
17,4049,,,0.09133755415678024
17,4049,0.11547362059354782,,
18,4199,,0.1082322970032692,
18,4274,,,0.09123238921165466
18,4274,0.11543533951044083,,
19,4399,,0.11268272995948792,
19,4499,,,0.09137564897537231
19,4499,0.11540704220533371,,
