epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.08922672271728516,
0,224,,,0.14852389693260193
0,224,0.08876950293779373,,
1,399,,0.08594536781311035,
1,449,,,0.1485849916934967
1,449,0.08838627487421036,,
2,599,,0.08939355611801147,
2,674,,,0.14864581823349
2,674,0.08820973336696625,,
3,799,,0.09580062329769135,
3,899,,,0.14871786534786224
3,899,0.08808860182762146,,
4,999,,0.08727410435676575,
4,1124,,,0.1487671434879303
4,1124,0.08799594640731812,,
5,1199,,0.08160343021154404,
5,1349,,,0.14883029460906982
5,1349,0.08792094886302948,,
6,1399,,0.09267473965883255,
6,1574,,,0.1488652229309082
6,1574,0.08785789459943771,,
7,1599,,0.08703382313251495,
7,1799,,0.08295369148254395,
7,1799,,,0.14891695976257324
7,1799,0.08780348300933838,,
8,1999,,0.0868779867887497,
8,2024,,,0.14895254373550415
8,2024,0.08775527775287628,,
9,2199,,0.09491551667451859,
9,2249,,,0.14898088574409485
9,2249,0.08771175146102905,,
10,2399,,0.09193189442157745,
10,2474,,,0.14900977909564972
10,2474,0.08767315000295639,,
11,2599,,0.08455989509820938,
11,2699,,,0.1490427851676941
11,2699,0.08763710409402847,,
12,2799,,0.08810743689537048,
12,2924,,,0.14908142387866974
12,2924,0.08760402351617813,,
13,2999,,0.08334460854530334,
13,3149,,,0.14912594854831696
13,3149,0.08757325261831284,,
14,3199,,0.08802437037229538,
14,3374,,,0.1491391360759735
14,3374,0.08754447847604752,,
15,3399,,0.08995357900857925,
15,3599,,0.0862855389714241,
15,3599,,,0.1491529643535614
15,3599,0.08751790970563889,,
16,3799,,0.08303461968898773,
16,3824,,,0.14918693900108337
16,3824,0.0874921903014183,,
17,3999,,0.0792422965168953,
17,4049,,,0.149206280708313
17,4049,0.08746857941150665,,
18,4199,,0.08860626816749573,
18,4274,,,0.14924916625022888
18,4274,0.08744607120752335,,
19,4399,,0.09163454920053482,
19,4499,,,0.1492612361907959
19,4499,0.08742449432611465,,
