model,split,age_group,rep,sensitivity,specificity,npv
CDR,val,<2,22,1.0,0.4981167608286252,1.0
CDR,val,<2,23,1.0,0.5,1.0
CDR,val,<2,24,1.0,0.4952919020715631,1.0
CDR,val,<2,25,1.0,0.4858757062146893,1.0
CDR,val,<2,26,1.0,0.5,1.0
CDR,val,<2,27,1.0,0.4896421845574388,1.0
CDR,val,<2,28,1.0,0.4774011299435028,1.0
CDR,val,<2,29,1.0,0.4792843691148776,1.0
CDR,val,<2,30,1.0,0.5160075329566854,1.0
CDR,val,<2,31,1.0,0.504708097928437,1.0
CDR,val,<2,32,1.0,0.4924670433145009,1.0
CDR,val,<2,33,1.0,0.4962335216572505,1.0
CDR,val,<2,34,1.0,0.4924670433145009,1.0
CDR,val,<2,35,1.0,0.4990583804143126,1.0
CDR,val,<2,36,1.0,0.4924670433145009,1.0
CDR,val,<2,37,1.0,0.487758945386064,1.0
CDR,val,<2,38,1.0,0.4821092278719397,1.0
CDR,val,<2,39,1.0,0.5028248587570622,1.0
CDR,val,<2,40,1.0,0.4962335216572505,1.0
CDR,val,<2,41,1.0,0.4962335216572505,1.0
CDR,val,<2,42,1.0,0.4990583804143126,1.0
CDR,val,<2,43,1.0,0.5,1.0
CDR,val,<2,44,1.0,0.4887005649717514,1.0
CDR,val,<2,45,1.0,0.4952919020715631,1.0
CDR,val,<2,46,1.0,0.5037664783427496,1.0
CDR,val,<2,47,1.0,0.4849340866290019,1.0
CDR,val,<2,48,1.0,0.4981167608286252,1.0
CDR,val,<2,49,1.0,0.4915254237288136,1.0
CDR,test,<2,0,1.0,0.4929378531073446,1.0
CDR,test,<2,1,1.0,0.4844632768361582,1.0
CDR,test,<2,2,1.0,0.4872881355932203,1.0
CDR,test,<2,3,1.0,0.4990583804143126,1.0
CDR,test,<2,4,1.0,0.4962335216572505,1.0
CDR,test,<2,5,1.0,0.5009416195856874,1.0
CDR,test,<2,6,1.0,0.4910546139359699,1.0
CDR,test,<2,7,1.0,0.4981167608286252,1.0
CDR,test,<2,8,1.0,0.4934086629001883,1.0
CDR,test,<2,9,1.0,0.4844632768361582,1.0
CDR,test,<2,10,1.0,0.4924670433145009,1.0
CDR,test,<2,11,1.0,0.4934086629001883,1.0
CDR,test,<2,12,1.0,0.4919962335216573,1.0
CDR,test,<2,13,1.0,0.5,1.0
CDR,test,<2,14,1.0,0.4887005649717514,1.0
CDR,test,<2,15,1.0,0.4985875706214689,1.0
CDR,test,<2,16,1.0,0.501412429378531,1.0
CDR,test,<2,17,1.0,0.4995291902071563,1.0
CDR,test,<2,18,1.0,0.4981167608286252,1.0
CDR,test,<2,19,1.0,0.4891713747645951,1.0
CDR,test,<2,20,1.0,0.4967043314500942,1.0
CDR,test,<2,21,1.0,0.4952919020715631,1.0
CDR,test,<2,22,1.0,0.4962335216572505,1.0
CDR,test,<2,23,1.0,0.4957627118644068,1.0
CDR,test,<2,24,1.0,0.5023540489642184,1.0
CDR,test,<2,25,1.0,0.4929378531073446,1.0
CDR,test,<2,26,1.0,0.493879472693032,1.0
CDR,test,<2,27,1.0,0.4967043314500942,1.0
CDR,test,<2,28,1.0,0.4919962335216573,1.0
CDR,test,<2,29,1.0,0.4934086629001883,1.0
CDR,test,<2,30,1.0,0.4910546139359699,1.0
CDR,test,<2,31,1.0,0.493879472693032,1.0
CDR,test,<2,32,0.9473684210526315,0.5004708097928436,0.9990601503759399
CDR,test,<2,33,0.9473684210526315,0.4943502824858757,0.9990485252140818
CDR,test,<2,34,1.0,0.4919962335216573,1.0
CDR,test,<2,35,1.0,0.4976459510357815,1.0
CDR,test,<2,36,1.0,0.4910546139359699,1.0
CDR,test,<2,37,1.0,0.4905838041431262,1.0
CDR,test,<2,38,1.0,0.4849340866290019,1.0
CDR,test,<2,39,1.0,0.4948210922787194,1.0
CDR,test,<2,40,1.0,0.4835216572504708,1.0
CDR,test,<2,41,1.0,0.4929378531073446,1.0
CDR,test,<2,42,1.0,0.5028248587570622,1.0
CDR,test,<2,43,1.0,0.4952919020715631,1.0
CDR,test,<2,44,1.0,0.4990583804143126,1.0
CDR,test,<2,45,1.0,0.493879472693032,1.0
CDR,test,<2,46,1.0,0.5018832391713748,1.0
CDR,test,<2,47,1.0,0.4901129943502825,1.0
CDR,test,<2,48,1.0,0.4948210922787194,1.0
CDR,test,<2,49,1.0,0.4887005649717514,1.0
CDR,train,>=2,0,0.9536082474226805,0.49758981355161436,0.9991781572459136
