model,age_group,feature,importance
CatBoost,Age >= 2,NeuroDMotor,0.25789656363804
CatBoost,Age >= 2,OSIFlank,0.22036782033232505
CatBoost,Age >= 2,Seiz,0.2125722891864737
CatBoost,Age >= 2,Paralyzed,0.19784498700502723
CatBoost,Age >= 2,ClavOcc,0.18269402752445013
CatBoost,Age >= 2,Intubated,0.16248316665068652
CatBoost,Age >= 2,OSIAbdomen,0.1598311097193196
CatBoost,Age >= 2,ClavFro,0.1288852378518522
CatBoost,Age >= 2,Gender,0.11216519213441233
CatBoost,Age >= 2,ClavFace,0.08754359437028367
CatBoost,Age >= 2,Drugs,0.06602921521724406
CatBoost,Age >= 2,Sedated,0.05688590235280106
CatBoost,Age >= 2,SeizOccur,0.05646707064279899
CatBoost,Age >= 2,SeizLen,0.016324427977640634
