model,age_group,threshold,split,Sensitivity,Specificity,NPV,ROC_AUC,PR_AUC,Precision,TP,FN,TN,FP,n,pos
CatBoost,Age < 2,0.2,train,1.0,0.6945367539545394,1.0,0.9664596472053604,0.5201382477318999,0.04488778054862843,108,0,5225,2298,7631,108
CatBoost,Age < 2,0.2,val,1.0,0.7153488372093023,1.0,0.9544186046511627,0.4091980057336809,0.04672897196261682,15,0,769,306,1090,15
CatBoost,Age < 2,0.2,test,0.8333333333333334,0.7,0.9966887417218543,0.8526434108527132,0.3775495989426303,0.03731343283582089,25,5,1505,645,2180,30
CatBoost,Age >= 2,0.2,train,0.9836065573770492,0.7619581297350607,0.9995883321571395,0.9651334491467745,0.586821874450665,0.07329842931937172,420,7,16997,5310,22734,427
CatBoost,Age >= 2,0.2,val,0.9672131147540983,0.7640414182616881,0.9991793188346327,0.962681384929555,0.6475220362762788,0.07274969173859433,59,2,2435,752,3248,61
CatBoost,Age >= 2,0.2,test,0.9754098360655737,0.7641983056165673,0.9993844891259746,0.9646952013044797,0.5659963129498273,0.07336621454993834,119,3,4871,1503,6496,122
