model,age_group,threshold,split,Sensitivity,Specificity,NPV,ROC_AUC,PR_AUC,Precision,TP,FN,TN,FP,n,pos
Logistic Regression,Age < 2,0.02,train,0.9223300970873787,0.7404748757592491,0.9985107967237528,0.9287934306530212,0.297830372500582,0.04810126582278481,95,8,5364,1880,7347,103
Logistic Regression,Age < 2,0.02,val,1.0,0.7616731517509727,1.0,0.9281652199940138,0.14225111802007553,0.050387596899224806,13,0,783,245,1041,13
Logistic Regression,Age < 2,0.02,test,0.7666666666666667,0.7491590581451225,0.9955300127713921,0.8563110683966043,0.24081704953756533,0.04220183486238532,23,7,1559,522,2111,30
Logistic Regression,Age >= 2,0.1,train,0.9002493765586035,0.7579409048938135,0.9975694233456888,0.9194795789842106,0.24740289522887185,0.06441827266238401,361,40,16417,5243,22061,401
Logistic Regression,Age >= 2,0.1,val,0.875,0.7674418604651163,0.9970625262274444,0.9093703857511998,0.230675069785024,0.06371911573472042,49,7,2376,720,3152,56
Logistic Regression,Age >= 2,0.1,test,0.9122807017543859,0.7662588538312942,0.9979035639412998,0.9260867477773636,0.2990895959968859,0.06683804627249357,104,10,4760,1452,6326,114
