metric,baseline_value,modified_value,abs_diff,rel_diff,baseline_latent_dim,modified_latent_dim,baseline_source,modified_source
accuracy_mean,0.6875906393644424,0.6867569915114908,-0.0008336478529515912,-0.0012124188510218132,8,8,finetune_final,finetune_final
accuracy_std,0.083938270346339,0.083709215212036,-0.00022905513430299118,-0.002728852207198019,8,8,finetune_final,finetune_final
roc_auc_mean,0.7720954376808704,0.7729983714491111,0.0009029337682406879,0.0011694587536390764,8,8,finetune_final,finetune_final
roc_auc_std,0.080998898248935,0.0846450214434912,0.0036461231945562056,0.0450144788803241,8,8,finetune_final,finetune_final
