rank,feature,cloud_mean,non_cloud_mean,difference_in_means,cohens_d,abs_cohens_d,roc_auc,roc_auc_O013257,roc_auc_O013490,roc_auc_O012791,mean_per_image_roc_auc
1,SD,723.74164,163.76302,559.97864,1.1695344,1.1695344,0.9351218356815959,0.9570836092840457,0.9436815571303074,0.8817923967505572,0.9275191877216368
2,NDAI,0.2645894,0.14271362,0.12187578,1.41473,1.41473,0.8233824261001953,0.5470581860185546,0.9793782735689633,0.8271255522240794,0.7845206706038658
3,Radiance AF,17869.252,22200.414,-4331.162,-1.1556568,1.1556568,0.7991560005295899,0.8430177441731391,0.8911564391345048,0.6099772775119829,0.781383820273209
4,Radiance AN,16567.729,20605.63,-4037.9023,-1.1517671,1.1517671,0.7935443895321314,0.7978087670081707,0.8719078234428608,0.6736340015787747,0.7811168640099354
5,Radiance BF,20384.506,24192.8,-3808.295,-0.9785553,0.9785553,0.7703453809788472,0.8613458073067659,0.8537642481276193,0.5028510843220498,0.7393203799188117
6,Radiance CF,23911.945,26099.373,-2187.4277,-0.53934693,0.53934693,0.6427837323709098,0.8536499835692758,0.6266359204442282,0.597209802520181,0.6924985688445616
7,Radiance DF,27997.865,27456.424,541.4414,0.12730026,0.12730026,0.5543936445003464,0.8287983710853467,0.7663745630599378,0.6927711193180498,0.7626480178211114
8,CORR,0.4133314,0.36654922,0.046782166,0.11469468,0.11469468,0.5236562504886295,0.7383973504253224,0.5798504917294519,0.5335162966951219,0.6172547129499654
