epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.08819007128477097,
0,224,,,0.14888325333595276
0,224,0.08786646276712418,,
1,399,,0.08508642017841339,
1,449,,,0.14925062656402588
1,449,0.08722613751888275,,
2,599,,0.08750204741954803,
2,674,,,0.14945481717586517
2,674,0.08690720796585083,,
3,799,,0.09469204396009445,
3,899,,,0.14958089590072632
3,899,0.08671408146619797,,
4,999,,0.08605542033910751,
4,1124,,,0.1497720628976822
4,1124,0.08657795190811157,,
5,1199,,0.08027306199073792,
5,1349,,,0.14980894327163696
5,1349,0.0864892229437828,,
6,1399,,0.09078313410282135,
6,1574,,,0.14991609752178192
6,1574,0.08636080473661423,,
7,1599,,0.08543232083320618,
7,1799,,0.08122540265321732,
7,1799,,,0.150011345744133
7,1799,0.08626154065132141,,
8,1999,,0.08548031002283096,
8,2024,,,0.15008340775966644
8,2024,0.08618088811635971,,
9,2199,,0.09368202835321426,
9,2249,,,0.15000975131988525
9,2249,0.08609789609909058,,
