epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.08787741512060165,
0,224,,,0.15002910792827606
0,224,0.08781114220619202,,
1,399,,0.08481629937887192,
1,449,,,0.1504409909248352
1,449,0.08690062910318375,,
2,599,,0.08674899488687515,
2,674,,,0.15092718601226807
2,674,0.0864894688129425,,
3,799,,0.09402408450841904,
3,899,,,0.15074019134044647
3,899,0.08636080473661423,,
4,999,,0.0854499414563179,
4,1124,,,0.1510685533285141
4,1124,0.08602394163608551,,
5,1199,,0.07955360412597656,
5,1349,,,0.15130259096622467
5,1349,0.08587600290775299,,
6,1399,,0.09001841396093369,
6,1574,,,0.15195775032043457
6,1574,0.08574492484331131,,
7,1599,,0.08482060581445694,
7,1799,,0.08054015785455704,
7,1799,,,0.15204639732837677
7,1799,0.08575185388326645,,
8,1999,,0.0846232995390892,
8,2024,,,0.15226209163665771
8,2024,0.08559821546077728,,
9,2199,,0.09353125840425491,
9,2249,,,0.15209504961967468
9,2249,0.0855531245470047,,
10,2399,,0.08995753526687622,
10,2474,,,0.1526426523923874
10,2474,0.08527800440788269,,
11,2599,,0.08269910514354706,
11,2699,,,0.15246637165546417
11,2699,0.08512499928474426,,
12,2799,,0.08528916537761688,
12,2924,,,0.1525862216949463
12,2924,0.08507094532251358,,
13,2999,,0.08054520189762115,
13,3149,,,0.15257692337036133
13,3149,0.08489921689033508,,
14,3199,,0.08505769819021225,
14,3374,,,0.15263129770755768
14,3374,0.08493443578481674,,
15,3399,,0.08614763617515564,
15,3599,,0.08216893672943115,
15,3599,,,0.15291112661361694
15,3599,0.08482933789491653,,
16,3799,,0.0802445262670517,
16,3824,,,0.15245650708675385
16,3824,0.08473028987646103,,
17,3999,,0.07801825553178787,
17,4049,,,0.15253183245658875
17,4049,0.08480668812990189,,
18,4199,,0.08564028143882751,
18,4274,,,0.15253399312496185
18,4274,0.08476065844297409,,
19,4399,,0.08963135629892349,
19,4499,,,0.15273237228393555
19,4499,0.08469448983669281,,
