epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.08860522508621216,
0,224,,,0.1490204632282257
0,224,0.0881119817495346,,
1,399,,0.08513985574245453,
1,449,,,0.14931680262088776
1,449,0.08760993927717209,,
2,599,,0.08860880136489868,
2,674,,,0.1495002806186676
2,674,0.08740264922380447,,
3,799,,0.09499843418598175,
3,899,,,0.14956599473953247
3,899,0.08726092427968979,,
4,999,,0.08647654950618744,
4,1124,,,0.1496746838092804
4,1124,0.08715328574180603,,
5,1199,,0.08073541522026062,
5,1349,,,0.14976118505001068
5,1349,0.08706720173358917,,
6,1399,,0.09147873520851135,
6,1574,,,0.14976081252098083
6,1574,0.08699310570955276,,
7,1599,,0.0861348882317543,
7,1799,,0.08210316300392151,
7,1799,,,0.1499059647321701
7,1799,0.08692861348390579,,
8,1999,,0.08602525293827057,
8,2024,,,0.14996753633022308
8,2024,0.08687180280685425,,
9,2199,,0.0942065566778183,
9,2249,,,0.14995791018009186
9,2249,0.08682028949260712,,
10,2399,,0.09109451621770859,
10,2474,,,0.1499766856431961
10,2474,0.08677113056182861,,
11,2599,,0.08382437378168106,
11,2699,,,0.15005949139595032
11,2699,0.08672739565372467,,
12,2799,,0.08728127181529999,
12,2924,,,0.1500949263572693
12,2924,0.08668775111436844,,
13,2999,,0.0825084000825882,
13,3149,,,0.15017715096473694
13,3149,0.08664987236261368,,
14,3199,,0.08682166039943695,
14,3374,,,0.150177463889122
14,3374,0.08661453425884247,,
15,3399,,0.08862137794494629,
15,3599,,0.08511878550052643,
15,3599,,,0.1501641422510147
15,3599,0.08658168464899063,,
16,3799,,0.08160466700792313,
16,3824,,,0.1502758413553238
16,3824,0.08654699474573135,,
17,3999,,0.0785108283162117,
17,4049,,,0.1502741277217865
17,4049,0.08651653677225113,,
18,4199,,0.08768291026353836,
18,4274,,,0.15044058859348297
18,4274,0.08648916333913803,,
19,4399,,0.09058219939470291,
19,4499,,,0.15041595697402954
19,4499,0.08646277338266373,,
