epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11863842606544495,
0,224,,,0.08843426406383514
0,224,0.11806165426969528,,
1,399,,0.11725480854511261,
1,449,,,0.08870275318622589
1,449,0.11728872358798981,,
2,599,,0.11255604773759842,
2,674,,,0.08894098550081253
2,674,0.11693944782018661,,
3,799,,0.11661164462566376,
3,899,,,0.08911798149347305
3,899,0.11670879274606705,,
4,999,,0.12105742841959,
4,1124,,,0.08923280239105225
4,1124,0.11653607338666916,,
5,1199,,0.11218777298927307,
5,1349,,,0.08936230093240738
5,1349,0.11638367176055908,,
6,1399,,0.1138409972190857,
6,1574,,,0.08951770514249802
6,1574,0.11626683920621872,,
7,1599,,0.1185719296336174,
7,1799,,0.11057687550783157,
7,1799,,,0.08957042545080185
7,1799,0.11615364253520966,,
8,1999,,0.12512972950935364,
8,2024,,,0.08962669223546982
8,2024,0.11606606096029282,,
9,2199,,0.11100121587514877,
9,2249,,,0.08971952646970749
9,2249,0.11596370488405228,,
