,0
SD,0.24058231035104605
ae10,0.12402145650394261
NDAI_DF_AF,0.05463198907375336
ae18,0.05059923626712181
AN,0.03909285050099443
ae19,0.038270456518667395
ae7,0.03626151162596579
ae20,0.0341039341141751
ae25,0.02978285822503123
ae15,0.029302327540063625
ae27,0.028447341351302866
CORR,0.022450926436307098
AF,0.020873867480295714
ae16,0.019940072523971657
ae31,0.018981410195193792
ae22,0.018270241206657795
ae29,0.01554728677082384
ae21,0.013574651849350838
ae14,0.01253414289530729
ae4,0.010684643860486157
DF,0.009726123790727466
BF,0.00925060585379555
ae11,0.00918018610023291
ae6,0.009071172090391516
ae1,0.009055715528588037
CF,0.009014702923955783
ae0,0.008856856890744941
ae12,0.007655364196070347
ae26,0.00762443501395241
ae2,0.007426786012361844
PC1,0.007142088188602393
ae24,0.006454062525676328
ae3,0.006330026538959764
ae28,0.006109543628034693
ae13,0.005011121579780933
ae9,0.004785157556634651
ae5,0.004634708593763455
ae17,0.004244476539041435
ae8,0.0036805634999052678
ae23,0.0036635683524461203
ae30,0.0031292193058756585
