condition,flipped,auc,f1,acc
clean,0,0.9941005167962791,0.9711759991986377,0.9719552160617911
flip_rep0,6287,0.9934037000427294,0.9737226824605465,0.9743795913892036
flip_rep1,6332,0.9932545469933759,0.9715142428785607,0.9722232374547713
flip_rep2,6172,0.9927064493744756,0.9722323117195426,0.9729907532619422
