fold,feature_set,model_name,accuracy,precision,recall,f1,roc_auc,n_train,n_test,held_out_group
1,handcrafted,lda_shrinkage,0.9227854732405004,0.9287035348667587,0.9082617889078541,0.9183689240359599,0.9643009765864562,125598,82083,2
2,handcrafted,lda_shrinkage,0.7632366645017367,0.7975864843121481,0.2421829196794997,0.3715474272008395,0.7448547173975588,136855,70826,1
3,handcrafted,lda_shrinkage,0.7588366318556927,0.7638405463978459,0.5474957635096969,0.637821831043843,0.7635385525334907,152909,54772,0
1,ae_only,lda_shrinkage,0.7668944848506999,0.8741399189199242,0.5987567829210506,0.7107045660719685,0.9161218081907976,125598,82083,2
2,ae_only,lda_shrinkage,0.8302318357665264,0.8335440037920683,0.5154875903849913,0.6370222785727223,0.9274954643105957,136855,70826,1
3,ae_only,lda_shrinkage,0.7664134959468342,0.7657566989558435,0.5730559216720015,0.6555382047278014,0.8864643378077788,152909,54772,0
1,combined,lda_shrinkage,0.9123935528672198,0.9130210748698923,0.9028099763075433,0.9078868151715834,0.9568784625850637,125598,82083,2
2,combined,lda_shrinkage,0.772004631067687,0.7995839112343966,0.2816591752980262,0.4165763422212588,0.8256324350249439,136855,70826,1
3,combined,lda_shrinkage,0.7411451106404733,0.7367962466487936,0.5174637544718509,0.6079526601039708,0.8358878323065525,152909,54772,0
