epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.1185358315706253,
0,224,,,0.08874975144863129
0,224,0.11777157336473465,,
1,399,,0.11719013005495071,
1,449,,,0.08911899477243423
1,449,0.11693991720676422,,
2,599,,0.11231375485658646,
2,674,,,0.0893729031085968
2,674,0.11655960977077484,,
3,799,,0.11611045897006989,
3,899,,,0.0895821750164032
3,899,0.11632127314805984,,
4,999,,0.12090682238340378,
4,1124,,,0.08968299627304077
4,1124,0.11613593995571136,,
5,1199,,0.1117120236158371,
5,1349,,,0.0898452177643776
5,1349,0.11596350371837616,,
6,1399,,0.11337905377149582,
6,1574,,,0.09004329890012741
6,1574,0.11583434045314789,,
7,1599,,0.11808015406131744,
7,1799,,0.11007523536682129,
7,1799,,,0.09009675681591034
7,1799,0.11572513729333878,,
8,1999,,0.1246212050318718,
8,2024,,,0.09012771397829056
8,2024,0.11559270322322845,,
9,2199,,0.11039173603057861,
9,2249,,,0.09024635702371597
9,2249,0.11547893285751343,,
