epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11609793454408646,
0,224,,,0.0913923904299736
0,224,0.11685244739055634,,
1,399,,0.11759563535451889,
1,449,,,0.09171734750270844
1,449,0.11577524989843369,,
2,599,,0.10950805246829987,
2,674,,,0.09205754846334457
2,674,0.11532481014728546,,
3,799,,0.11650381982326508,
3,899,,,0.0923578292131424
3,899,0.11502992361783981,,
4,999,,0.11203012615442276,
4,1124,,,0.09236420691013336
4,1124,0.11476735025644302,,
5,1199,,0.1213940754532814,
5,1349,,,0.09278889745473862
5,1349,0.11469295620918274,,
6,1399,,0.10722259432077408,
6,1574,,,0.09289071708917618
6,1574,0.11454397439956665,,
7,1599,,0.11382424831390381,
7,1799,,0.11083108931779861,
7,1799,,,0.09268579632043839
7,1799,0.11426466703414917,,
8,1999,,0.11370772123336792,
8,2024,,,0.09276019781827927
8,2024,0.11406971514225006,,
9,2199,,0.11730815470218658,
9,2249,,,0.09318457543849945
9,2249,0.11392136663198471,,
10,2399,,0.11249186843633652,
10,2474,,,0.09304151684045792
10,2474,0.11375924199819565,,
11,2599,,0.11355899274349213,
11,2699,,,0.0930405929684639
11,2699,0.11357058584690094,,
12,2799,,0.11115607619285583,
12,2924,,,0.09296966344118118
12,2924,0.11359292268753052,,
13,2999,,0.11272828280925751,
13,3149,,,0.09298387914896011
13,3149,0.11343157291412354,,
14,3199,,0.1158958226442337,
14,3374,,,0.09304578602313995
14,3374,0.11332202702760696,,
15,3399,,0.10802193731069565,
15,3599,,0.10549949109554291,
15,3599,,,0.09316029399633408
15,3599,0.11326655745506287,,
16,3799,,0.11879300326108932,
16,3824,,,0.09342575073242188
16,3824,0.11323997378349304,,
17,3999,,0.12007824331521988,
17,4049,,,0.09350984543561935
17,4049,0.11319053918123245,,
18,4199,,0.11517692357301712,
18,4274,,,0.09311821311712265
18,4274,0.11314979940652847,,
19,4399,,0.11318616569042206,
19,4499,,,0.09306544810533524
19,4499,0.11305556446313858,,
