test_image,feature,coef_scaled,scaler_scale,coef_per_unit_original,abs_coef_scaled
image1,ae0,-0.04030246393310223,1.8966035144172562,-0.02124980979247285,0.04030246393310223
image1,ae1,-0.30422930262262576,1.5695492228063375,-0.19383227884925264,0.30422930262262576
image1,ae2,0.16932045525375383,0.8401211890352627,0.2015428934106397,0.16932045525375383
image1,ae3,-0.8289246195724517,1.8844647489994557,-0.4398727118735247,0.8289246195724517
image1,ae4,0.019405960243452706,1.057039038020122,0.018358792386514763,0.019405960243452706
image1,ae5,-0.4707966222270671,1.2425488718799254,-0.37889585905363315,0.4707966222270671
image1,ae6,-0.3105563867690812,1.488111343432265,-0.20869163328383494,0.3105563867690812
image1,ae7,-0.39894655355033853,1.3499596240331924,-0.2955248041852023,0.39894655355033853
image1,__intercept__,0.017966922708988173,,0.017966922708988173,
image2,ae0,-0.5642784823616778,1.9250719642614322,-0.2931207211145311,0.5642784823616778
image2,ae1,-0.07937946847114631,1.43734525387729,-0.055226444903906956,0.07937946847114631
image2,ae2,0.05014589367356314,0.8747828995575869,0.057323815656346214,0.05014589367356314
image2,ae3,-0.5026011071867298,1.5620008751029013,-0.32176749398659554,0.5026011071867298
image2,ae4,0.4583224541752142,1.1032393460717753,0.41543338334254476,0.4583224541752142
image2,ae5,-0.43200660739466534,1.1121988416089836,-0.38842569442861025,0.43200660739466534
image2,ae6,-0.07449820274842257,1.42201014418082,-0.05238936097135854,0.07449820274842257
image2,ae7,-0.28581690612562577,1.3133620925860534,-0.21762232040886975,0.28581690612562577
image2,__intercept__,-0.13952758335064158,,-0.13952758335064158,
image3,ae0,-0.20268807472326783,1.9744950117782845,-0.10265312067854827,0.20268807472326783
image3,ae1,-0.6711330255142872,1.6254135001813754,-0.4128998715953801,0.6711330255142872
image3,ae2,0.36883616220708254,0.9091052224899492,0.40571339057637007,0.36883616220708254
image3,ae3,-1.078694762146134,1.9923867356763347,-0.5414083234096421,1.078694762146134
image3,ae4,0.015285528337719618,1.0966333252113807,0.013938595505269063,0.015285528337719618
image3,ae5,-0.5489934347450901,1.325483564865762,-0.41418350954859956,0.5489934347450901
image3,ae6,-0.34973561628734834,1.5364187383724375,-0.22763040280140753,0.34973561628734834
image3,ae7,-0.38213816792270994,1.4196449783794054,-0.26917868463067396,0.38213816792270994
image3,__intercept__,-0.08449901488591817,,-0.08449901488591817,
