test_image,auc,balanced_accuracy,f1,tn,fp,fn,tp
image1,0.8239060189486127,0.7416877168233187,0.617498141132316,31764,18590,3016,17440
image2,0.7687078554868106,0.6541184518923631,0.5740012292562999,35620,7210,20514,18678
image3,0.6456635901627301,0.5854125740664593,0.5020159912526482,21814,11636,10225,11019
