test_image,feature,coef_scaled,scaler_scale,coef_per_unit_original,abs_coef_scaled
image1,NDAI,-2.3187438424268585,0.11498788452333449,-20.16511436869087,2.3187438424268585
image1,SD,0.6360234376061457,536.8668007881425,0.001184695042927663,0.6360234376061457
image1,CORR,-0.323238770554783,0.39012123573331847,-0.8285597935913045,0.323238770554783
image1,DF,5.821355794715917,4415.841925110176,0.0013182889907388778,5.821355794715917
image1,CF,-2.287451246196147,3966.402205631788,-0.0005767068309281031,2.287451246196147
image1,BF,-2.15269409149029,3936.17005512488,-0.0005469006829843364,2.15269409149029
image1,AF,1.9413704756906578,4001.6006752058083,0.0004851484776378418,1.9413704756906578
image1,AN,-4.041894408565638,3852.7568770287603,-0.0010490914785369848,4.041894408565638
image1,__intercept__,0.45268421638005385,,0.45268421638005385,
image2,NDAI,0.10560786311863593,0.07387233782643897,1.4295995798421692,0.10560786311863593
image2,SD,1.425518908067083,595.0299008339726,0.002395709704788157,1.425518908067083
image2,CORR,0.20426942841859197,0.40564580298297975,0.5035659851931533,0.20426942841859197
image2,DF,1.3761005082970377,4209.896551957811,0.00032687276072308297,1.3761005082970377
image2,CF,-1.0707120826901202,4345.95529494048,-0.0002463697875439798,1.0707120826901202
image2,BF,-1.2688158345798466,4284.191262253348,-0.00029616227589066366,1.2688158345798466
image2,AF,1.0288764349559776,3990.8882610675228,0.00025780637483464983,1.0288764349559776
image2,AN,-0.549990557760599,3596.156504810552,-0.0001529384377528844,0.549990557760599
image2,__intercept__,-0.00254538599197422,,-0.00254538599197422,
image3,NDAI,-1.4302084454437844,0.11042901003306554,-12.951383382098054,1.4302084454437844
image3,SD,1.2858388443509425,525.0336194511825,0.002449060015804377,1.2858388443509425
image3,CORR,0.20865968502702126,0.4161556215033355,0.5013982131810487,0.20865968502702126
image3,DF,3.420255435413007,3845.255396728179,0.0008894741915772895,3.420255435413007
image3,CF,-0.9066228161296396,4064.527188930336,-0.00022305738748625177,0.9066228161296396
image3,BF,-2.7683349651148945,4509.568055273915,-0.0006138802943393529,2.7683349651148945
image3,AF,-4.2668517935790495,4669.661573466269,-0.0009137389779644747,4.2668517935790495
image3,AN,3.185618142273204,4397.303205677638,0.0007244481431619384,3.185618142273204
image3,__intercept__,0.09534899836330017,,0.09534899836330017,
