test_image,auc,balanced_accuracy,f1,tn,fp,fn,tp
image1,0.7473052462402716,0.6583011044029623,0.4874246518395343,48979,1375,13421,7035
image2,0.9603864273596316,0.9375660946258002,0.9360595419298392,37636,5194,141,39051
image3,0.7643806463669756,0.7012593148608002,0.6365345776168256,25327,8123,7534,13710
