metric,baseline_value,modified_value,abs_diff,rel_diff,baseline_latent_dim,modified_latent_dim,baseline_source,modified_source
accuracy_mean,0.6876291885884939,0.68676181032413,-0.0008673782643638939,-0.001261404080510854,8,8,finetune_final_004,finetune_final_004
accuracy_std,0.0839767885191394,0.0837000004333932,-0.00027678808574618796,-0.0032960070351238115,8,8,finetune_final_004,finetune_final_004
roc_auc_mean,0.7720758382332005,0.7729947499463037,0.0009189117131032098,0.0011901832276036833,8,8,finetune_final_004,finetune_final_004
roc_auc_std,0.0810156876727228,0.0846516992464977,0.003636011573774897,0.044880339576493004,8,8,finetune_final_004,finetune_final_004
