epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.1201806515455246,
0,224,,,0.08812889456748962
0,224,0.11910852044820786,,
1,399,,0.11900825053453445,
1,449,,,0.0881774052977562
1,449,0.11893857270479202,,
2,599,,0.11475224047899246,
2,674,,,0.08822264522314072
2,674,0.11889161169528961,,
3,799,,0.11830808222293854,
3,899,,,0.08821238577365875
3,899,0.11879552155733109,,
4,999,,0.12376003712415695,
4,1124,,,0.08823100477457047
4,1124,0.11875265836715698,,
5,1199,,0.11392984539270401,
5,1349,,,0.088271364569664
5,1349,0.11872850358486176,,
6,1399,,0.11656636744737625,
6,1574,,,0.08828586339950562
6,1574,0.11869975924491882,,
7,1599,,0.12103890627622604,
7,1799,,0.1130237802863121,
7,1799,,,0.08824813365936279
7,1799,0.11869417130947113,,
8,1999,,0.1279289573431015,
8,2024,,,0.08831515908241272
8,2024,0.11866927146911621,,
9,2199,,0.11375540494918823,
9,2249,,,0.0882856547832489
9,2249,0.11867045611143112,,
10,2399,,0.12449676543474197,
10,2474,,,0.0883089005947113
10,2474,0.11864505708217621,,
11,2599,,0.11660031974315643,
11,2699,,,0.08830168098211288
11,2699,0.11865303665399551,,
12,2799,,0.12493406981229782,
12,2924,,,0.0883057489991188
12,2924,0.11861521005630493,,
13,2999,,0.1153208389878273,
13,3149,,,0.08829342573881149
13,3149,0.11858310550451279,,
14,3199,,0.10845796763896942,
14,3374,,,0.08830316364765167
14,3374,0.11856133490800858,,
15,3399,,0.12659640610218048,
15,3599,,0.12138538062572479,
15,3599,,,0.0883236676454544
15,3599,0.1185784861445427,,
16,3799,,0.12117407470941544,
16,3824,,,0.08834736049175262
16,3824,0.11855138093233109,,
17,3999,,0.12245096266269684,
17,4049,,,0.08827219158411026
17,4049,0.11854934692382812,,
18,4199,,0.11143931746482849,
18,4274,,,0.08830193430185318
18,4274,0.1185147687792778,,
19,4399,,0.11597785353660583,
19,4499,,,0.08835194259881973
19,4499,0.11852084845304489,,
