dist_bin,error_rate,count
"(3.0, 6.0]",0.5,18
"(6.0, 12.0]",0.16350710900473933,1266
"(12.0, 25.0]",0.039629689783985705,12314
"(25.0, 50.0]",0.042441883333988906,25423
"(50.0, 100.0]",0.05100875523410735,26270
"(100.0, 500.0]",0.00547879942829919,16792
