iter,train_loss,val_loss
1,-0.6356602352562912,-0.6356646142127713
2,-0.5917618660083456,-0.5922013120856255
3,-0.5532385451299459,-0.5541279716057835
4,-0.5193628346514171,-0.5206692750050779
5,-0.48933593436621226,-0.4909997846612074
6,-0.4624611270116948,-0.46450552791245525
7,-0.43829767940508013,-0.44074061500563066
8,-0.41638901355967617,-0.4192545810688802
9,-0.3965367010122881,-0.3996577090846623
10,-0.37840634787549626,-0.3817935300362067
11,-0.3619272130083583,-0.36564792998521295
12,-0.3464427807149681,-0.35056905946278405
13,-0.3323683887391461,-0.33673034799055246
14,-0.31940081722552155,-0.32399210102808224
15,-0.30742916059494074,-0.3123158827586125
16,-0.29655056440187294,-0.3017318898059408
17,-0.2863904021003478,-0.2918142556765268
18,-0.2769053782711586,-0.2824632310124262
19,-0.26821101612999787,-0.2739527664199837
20,-0.26016230981855865,-0.26611155372073236
21,-0.25257478118940396,-0.25868767465104964
22,-0.245567481161251,-0.25185365188931136
23,-0.23916922461209678,-0.24565964136888788
24,-0.2330727957608865,-0.23967790204867942
25,-0.22728044097762665,-0.23404285567430855
26,-0.22194504748661967,-0.2288642202061673
27,-0.2169421275913879,-0.22400098628635984
28,-0.2123165093878213,-0.21950850032286479
29,-0.20795844948670622,-0.21532016890526368
30,-0.2039294746118081,-0.2114486854017838
31,-0.1999002906064378,-0.20759483369791007
32,-0.19633889912603353,-0.20412359554295026
33,-0.19281623505029322,-0.20078369834474874
34,-0.18970929372001397,-0.1977989846085004
35,-0.18682760527756556,-0.1949751678929243
36,-0.1841022980057757,-0.19237877219436852
37,-0.181569569472209,-0.18996456688104607
38,-0.1790529359896984,-0.18758968920487984
39,-0.17673202915834568,-0.1853413793042876
40,-0.17445213891095374,-0.18317320978871893
41,-0.1723321116256468,-0.18109435895403053
42,-0.17021146443223317,-0.17907756910124545
43,-0.1684495382811826,-0.1773862562402898
44,-0.16656150471279352,-0.17562870727027
45,-0.1647887671335419,-0.17399164379155843
46,-0.16301196111283006,-0.1723244317818484
47,-0.16152535393303458,-0.17086216736349338
48,-0.1599970706004703,-0.16947622770972895
49,-0.15847987521152704,-0.16806426744618094
50,-0.1570770913149427,-0.16683881599274772
51,-0.15573879775985353,-0.16561710763796533
52,-0.15460730772190895,-0.16458094784035204
53,-0.15340462296049667,-0.16350825897586657
54,-0.1523210156013968,-0.1625097342861403
55,-0.1511693792105365,-0.16142730810712366
56,-0.15018453431233117,-0.16054648480736042
57,-0.1489759565472218,-0.15936579290206648
58,-0.14786251230767064,-0.15829803164019596
59,-0.14692071546816202,-0.15742952611802383
60,-0.14598230339359952,-0.1565966344412807
61,-0.14508562023455382,-0.15582980736082336
62,-0.14411207457304498,-0.15488108965250896
63,-0.14320777960402117,-0.15406890097796197
64,-0.14236347618158612,-0.15330887658123774
65,-0.14159070774330726,-0.15265333104156523
66,-0.1408597837349273,-0.15204540156708138
67,-0.1401812492179666,-0.15147570801641116
68,-0.13952265171866324,-0.15089099944296683
69,-0.13889563020743756,-0.1503604575815224
70,-0.13830194014130276,-0.14985318086885505
71,-0.13776925362741693,-0.1494055370845223
72,-0.13706159532198448,-0.1487636494138471
73,-0.1365434169113502,-0.14835070544064194
74,-0.13601639047711003,-0.14787127015751736
75,-0.13529861250536326,-0.14726393167742613
76,-0.1348388643979535,-0.14687442734473652
77,-0.13439309744494699,-0.14650921524666755
78,-0.13396297137413157,-0.14619770225406
79,-0.1335266069299892,-0.1457781053684712
80,-0.1331348584361394,-0.14549342350654926
81,-0.13257630807810647,-0.14500465965144038
82,-0.1321441039754689,-0.14460259867200811
83,-0.13175971272007436,-0.14432848104150198
84,-0.13132098131354603,-0.14396572806906996
85,-0.13101001592652706,-0.1437492031042661
86,-0.13058283450371516,-0.1433919444471687
87,-0.13026031331795337,-0.14312835903435966
88,-0.12996899938630446,-0.14290023466487123
89,-0.1296202826269184,-0.1425833122281761
90,-0.12933198006039437,-0.14238035943173055
91,-0.1288877391264458,-0.14202191860214694
92,-0.12850734411385292,-0.1417057606454898
93,-0.12812759597429266,-0.14138028009496018
94,-0.1277183369768658,-0.14105985544984323
95,-0.1274641301783598,-0.14091655922435384
96,-0.12715369405135202,-0.14060435181043038
97,-0.1267647658581599,-0.1402413277813256
98,-0.12638974366699857,-0.13992433723082784
99,-0.126073370192125,-0.13964794822173843
100,-0.12571611628701043,-0.1392584683108832
101,-0.12542815933591897,-0.13902240981755884
102,-0.12518418009661642,-0.13882329373304483
103,-0.12490153207246842,-0.1385747380931332
104,-0.12464917525459755,-0.1383514239548771
105,-0.12440593874220761,-0.13822520704007005
106,-0.12411833803673572,-0.13797749356467323
107,-0.12390627285472479,-0.13783043980115595
108,-0.1236320409996331,-0.13759845518737782
109,-0.12330518124903861,-0.137324172895838
110,-0.12304833307331153,-0.13709550133692353
111,-0.12283978364482251,-0.1369669853923464
112,-0.1225878178533807,-0.1368469836803808
113,-0.12231634643271297,-0.13658165148814141
114,-0.1221073851492884,-0.13640596047973697
115,-0.1218777967309532,-0.1361816924936296
116,-0.12170582964183761,-0.1360864524745437
117,-0.12138456087592009,-0.13584646453375843
118,-0.12115192357636165,-0.13566809510734942
119,-0.12100584450070179,-0.1356072376041274
120,-0.12072653860694406,-0.13541283428266773
121,-0.12042450870908829,-0.13511612442232226
122,-0.1201797448791141,-0.13488804337476426
123,-0.1199960025064074,-0.13477477992359646
124,-0.11985731760583686,-0.13466295644583176
125,-0.11969686240585282,-0.13456178573176275
126,-0.11947796547311204,-0.13435831240058252
127,-0.11934652090690986,-0.13429383594239067
128,-0.11905920731145547,-0.13403807770525883
129,-0.1188667015611316,-0.13390427685508044
130,-0.11866175115645924,-0.13372761849554907
131,-0.11846807039289664,-0.1336437580840722
132,-0.11830943653547055,-0.1335328160493535
133,-0.11814253009793238,-0.13340357819327495
