seed,roc_auc,f1,accuracy
7,0.9955606849818563,0.9611632570212452,0.9615389301073304
13,0.9955353840965081,0.9602783344192966,0.9606374036036694
21,0.9961375658077449,0.9609606653788895,0.9613440054578902
42,0.9957635557199033,0.9604672609898555,0.9608323282531096
88,0.9954459468110746,0.9607647731886465,0.96114908080845
123,0.9956601412656161,0.9620602550674635,0.9624891877733514
2026,0.9960293256509276,0.9607346577498033,0.9610881668554999
