feature,train_skew,test_skew,abs_smd
SD,3.236782084602336,1.8238499412738383,0.08106680212798673
CORR,-0.6392715931538906,0.09857429133112024,0.5372864738427502
DF,-0.6761493712957708,-1.7615278891198556,0.7477438420024807
CF,-0.9163115749884959,-2.0890330106158417,0.39829656647635403
BF,-1.116832964247054,-1.4998467896051866,0.03808427941840931
AF,-1.3916809029277701,-1.2758950761575325,0.202640263568333
AN,-1.6322558310344708,-1.2536362254929996,0.22994503151881124
NDAI_DF_AF,2.4811936438360567,1.2260062865477295,1.1467943232196254
