iter,train_loss,val_loss
1,-0.6356602352562912,-0.6356646142127713
2,-0.5917618660083456,-0.5922013120856255
3,-0.5532385451299459,-0.5541279716057835
4,-0.5193628346514171,-0.5206692750050779
5,-0.4893359343662122,-0.4909997846612074
6,-0.4624611270116947,-0.46450552791245514
7,-0.43829767940508013,-0.44074061500563066
8,-0.41638901355967617,-0.4192545810688802
9,-0.3965367010122881,-0.3996577090846623
10,-0.3784063478754962,-0.3817935300362066
11,-0.3619272130083583,-0.36564792998521295
12,-0.34644278071496803,-0.350569059462784
13,-0.3323683887391462,-0.33673034799055246
14,-0.3194008172255215,-0.32399210102808224
15,-0.3074291605949407,-0.31231588275861244
16,-0.296550564401873,-0.3017318898059408
17,-0.2863904021003478,-0.2918142556765268
18,-0.2769053782711586,-0.28246323101242626
19,-0.2682110161299979,-0.2739527664199836
20,-0.26016230981855865,-0.2661115537207324
21,-0.25257478118940396,-0.25868767465104964
22,-0.24556748116125102,-0.25185365188931136
23,-0.23916922461209672,-0.24565964136888788
24,-0.23307279576088658,-0.23967790204867942
25,-0.22728044097762673,-0.23404285567430855
26,-0.2219450474866196,-0.2288642202061673
27,-0.21694212759138787,-0.22400098628635984
28,-0.21231650938782126,-0.21950850032286484
29,-0.20795844948670628,-0.21532016890526368
30,-0.20392947461180816,-0.21144868540178377
31,-0.19990029060643777,-0.2075948336979101
32,-0.19633889912603358,-0.20412359554295026
33,-0.19281623505029316,-0.20078369834474874
34,-0.18970929372001394,-0.19779898460850037
35,-0.1868276052775656,-0.1949751678929243
36,-0.18410229800577577,-0.19237877219436852
37,-0.18156956947220898,-0.18996456688104607
38,-0.1790529359896984,-0.18758968920487987
39,-0.17673202915834568,-0.18534137930428762
40,-0.1744521389109537,-0.18317320978871893
41,-0.17233211162564685,-0.18109435895403053
42,-0.17021146443223314,-0.17907756910124545
43,-0.1684495382811826,-0.1773862562402898
44,-0.1665615047127935,-0.17562870727026997
45,-0.16478876713354193,-0.17399164379155843
46,-0.16301196111283006,-0.17232443178184836
47,-0.1615253539330346,-0.17086216736349338
48,-0.15999707060047036,-0.16947622770972895
49,-0.15847987521152704,-0.16806426744618094
50,-0.1570770913149427,-0.16683881599274775
51,-0.15573879775985355,-0.16561710763796533
52,-0.1546073077219089,-0.16458094784035204
53,-0.1534046229604967,-0.16350825897586657
54,-0.1523210156013968,-0.16250973428614027
55,-0.1511693792105365,-0.16142730810712366
56,-0.15018453431233117,-0.16054648480736042
57,-0.1489759565472218,-0.1593657929020665
58,-0.1478625123076706,-0.15829803164019596
59,-0.146920715468162,-0.15742952611802383
60,-0.14598230339359952,-0.15659663444128066
61,-0.14508562023455385,-0.15582980736082336
62,-0.14411207457304498,-0.154881089652509
63,-0.1432077796040212,-0.15406890097796194
64,-0.14236347618158615,-0.15330887658123774
65,-0.14159070774330726,-0.1526533310415652
66,-0.14085978373492727,-0.15204540156708138
67,-0.14018124921796657,-0.1514757080164112
68,-0.13952265171866327,-0.15089099944296683
69,-0.13889563020743756,-0.15036045758152242
70,-0.13830194014130276,-0.14985318086885505
71,-0.13776925362741696,-0.14940553708452228
72,-0.13706159532198445,-0.1487636494138471
73,-0.1365434169113502,-0.14835070544064197
74,-0.13601639047711003,-0.14787127015751736
75,-0.13529861250536324,-0.14726393167742613
76,-0.1348388643979535,-0.14687442734473655
77,-0.13439309744494696,-0.14650921524666755
78,-0.13396297137413157,-0.14619770225406
79,-0.1335266069299892,-0.1457781053684712
80,-0.1331348584361394,-0.14549342350654929
81,-0.13257630807810647,-0.14500465965144038
82,-0.1321441039754689,-0.14460259867200817
83,-0.13175971272007436,-0.14432848104150198
84,-0.131320981313546,-0.14396572806907
85,-0.13101001592652708,-0.1437492031042661
86,-0.13058283450371516,-0.1433919444471687
87,-0.13026031331795337,-0.1431283590343597
88,-0.1299689993863045,-0.14290023466487123
89,-0.12962028262691844,-0.14258331222817608
90,-0.12933198006039437,-0.14238035943173058
91,-0.1288877391264458,-0.14202191860214694
92,-0.12850734411385292,-0.14170576064548976
93,-0.12812759597429263,-0.14138028009496018
94,-0.1277183369768658,-0.14105985544984323
95,-0.12746413017835978,-0.14091655922435384
96,-0.12715369405135202,-0.14060435181043038
97,-0.12676476585815993,-0.1402413277813256
98,-0.12638974366699854,-0.13992433723082784
99,-0.126073370192125,-0.13964794822173843
100,-0.1257161162870104,-0.1392584683108832
101,-0.12542815933591892,-0.13902240981755884
102,-0.12518418009661644,-0.13882329373304483
103,-0.12490153207246843,-0.1385747380931332
104,-0.12464917525459754,-0.1383514239548771
105,-0.1244059387422076,-0.13822520704007002
106,-0.12411833803673572,-0.13797749356467323
107,-0.12390627285472482,-0.13783043980115595
108,-0.1236320409996331,-0.1375984551873778
109,-0.12330518124903861,-0.13732417289583798
110,-0.12304833307331153,-0.13709550133692355
111,-0.12283978364482251,-0.13696698539234642
112,-0.12258781785338069,-0.1368469836803808
113,-0.12231634643271296,-0.13658165148814141
114,-0.12210738514928841,-0.13640596047973697
115,-0.1218777967309532,-0.13618169249362957
116,-0.12170582964183763,-0.1360864524745437
117,-0.1213845608759201,-0.1358464645337584
118,-0.12115192357636165,-0.13566809510734942
119,-0.12100584450070177,-0.13560723760412738
120,-0.12072653860694407,-0.13541283428266776
121,-0.1204245087090883,-0.1351161244223223
122,-0.1201797448791141,-0.13488804337476432
123,-0.1199960025064074,-0.1347747799235965
124,-0.11985731760583684,-0.13466295644583176
125,-0.11969686240585282,-0.13456178573176275
126,-0.11947796547311201,-0.13435831240058252
127,-0.11934652090690986,-0.13429383594239064
128,-0.11905920731145549,-0.13403807770525883
129,-0.11886670156113159,-0.13390427685508044
130,-0.11866175115645926,-0.13372761849554907
131,-0.11846807039289663,-0.13364375808407222
132,-0.11830943653547055,-0.1335328160493535
133,-0.11814253009793238,-0.13340357819327497
