image,n_pixels,pred_cloud_rate,pred_notcloud_rate,mean_cloud_prob,p05_cloud_prob,p95_cloud_prob
O002539,115378,0.9415399816256133,0.058460018374386795,0.9129937870594801,0.426759560857827,0.999395211212811
O002772,115668,0.160286336756925,0.8397136632430751,0.16686116818644647,1.3192266786812655e-05,0.8975262224585422
O003005,115923,0.8293091103577375,0.17069088964226253,0.7934129732207036,0.0073224119696819545,0.9989232052000195
