feature,mean,std
SD,0.3176719076953481,0.0040129131348207525
AN,0.03463579616561596,0.0005311611666181592
CORR,0.01961431815251848,0.000502340878230738
NDAI_DF_AF,0.011000759372497781,0.00014614178923150474
BF,0.002358013120194402,0.00011296565060495375
CF,0.002310811738736133,8.578720289967739e-05
AF,0.001790687775243401,7.478391763919485e-05
DF,-0.0007226272876731388,9.500768106681855e-05
