noise_scale,roc_auc,f1,accuracy
0.0,0.9957635557199033,0.9604672609898555,0.9608323282531096
0.005,0.9957576557885093,0.9605578718223075,0.9609297905778298
0.01,0.9957365501059153,0.9601957024143187,0.9605521240695394
0.02,0.995728282231495,0.9598427131973458,0.960186640351839
0.05,0.9952465640453731,0.9572024539877301,0.9575064264220362
