epoch,step,train_loss_epoch,train_loss_step
0,199,,0.10734602808952332
0,336,0.1079314723610878,
1,399,,0.10749447345733643
1,599,,0.11031223088502884
1,673,0.107490673661232,
2,799,,0.11174960434436798
2,999,,0.10240130126476288
2,1010,0.10730363428592682,
3,1199,,0.11211378872394562
3,1347,0.10717853903770447,
4,1399,,0.10796171426773071
4,1599,,0.11078347265720367
4,1684,0.10708208382129669,
