epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.11847250908613205,
0,224,,,0.08868098258972168
0,224,0.11806745082139969,,
1,399,,0.11736482381820679,
1,449,,,0.08897494524717331
1,449,0.11743472516536713,,
2,599,,0.11297152936458588,
2,674,,,0.08915242552757263
2,674,0.11717761307954788,,
3,799,,0.11674310266971588,
3,899,,,0.08933005481958389
3,899,0.11700265854597092,,
4,999,,0.12176748365163803,
4,1124,,,0.08941543102264404
4,1124,0.11687419563531876,,
5,1199,,0.11252078413963318,
5,1349,,,0.0895007774233818
5,1349,0.11676760017871857,,
6,1399,,0.11431755125522614,
6,1574,,,0.08963825553655624
6,1574,0.1166791170835495,,
7,1599,,0.11901398748159409,
7,1799,,0.1109042540192604,
7,1799,,,0.08969826251268387
7,1799,0.1166006475687027,,
8,1999,,0.1261090636253357,
8,2024,,,0.08971638232469559
8,2024,0.11653119325637817,,
9,2199,,0.11150538176298141,
9,2249,,,0.08978743851184845
9,2249,0.11647330224514008,,
10,2399,,0.12178576737642288,
10,2474,,,0.08978083729743958
10,2474,0.11641701310873032,,
11,2599,,0.1146002784371376,
11,2699,,,0.08988048136234283
11,2699,0.11636331677436829,,
12,2799,,0.12205706536769867,
12,2924,,,0.08990047127008438
12,2924,0.11631868779659271,,
13,2999,,0.1133597195148468,
13,3149,,,0.08991594612598419
13,3149,0.11627538502216339,,
14,3199,,0.1062634065747261,
14,3374,,,0.08999036252498627
14,3374,0.11623391509056091,,
15,3399,,0.12407279759645462,
15,3599,,0.11827791482210159,
15,3599,,,0.09005165100097656
15,3599,0.11619313806295395,,
16,3799,,0.11813320219516754,
16,3824,,,0.09005846083164215
16,3824,0.11615613102912903,,
17,3999,,0.12068522721529007,
17,4049,,,0.09007470309734344
17,4049,0.1161222830414772,,
18,4199,,0.10897170007228851,
18,4274,,,0.09013121575117111
18,4274,0.11608981341123581,,
19,4399,,0.11327191442251205,
19,4499,,,0.09016533195972443
19,4499,0.11606178432703018,,
